datetime,bpm,period
2018-05-03 15:07:29.677,1,after lunch
2018-05-03 15:07:29.980,102,after lunch
2018-05-03 15:07:30.279,87,after lunch
2018-05-03 15:07:30.582,87,after lunch
2018-05-03 15:07:30.881,87,after lunch
2018-05-03 15:07:31.483,82,after lunch
2018-05-03 15:07:31.782,79,after lunch
2018-05-03 15:07:32.086,79,after lunch
2018-05-03 15:07:32.385,88,after lunch
2018-05-03 15:07:32.987,91,after lunch
2018-05-03 15:07:33.286,91,after lunch
2018-05-03 15:07:33.589,91,after lunch
2018-05-03 15:07:33.888,93,after lunch
2018-05-03 15:07:34.191,91,after lunch
2018-05-03 15:07:34.490,91,after lunch
2018-05-03 15:07:34.789,9,after lunch
2018-05-03 15:07:35.092,93,after lunch
2018-05-03 15:07:35.391,93,after lunch
2018-05-03 15:07:57.927,105,after lunch
2018-05-03 15:07:58.226,105,after lunch
2018-05-03 15:07:58.529,105,after lunch
2018-05-03 15:07:58.828,105,after lunch
2018-05-03 15:07:59.131,105,after lunch
2018-05-03 15:07:59.430,87,after lunch
2018-05-03 15:08:00.032,87,after lunch
2018-05-03 15:08:00.331,80,after lunch
2018-05-03 15:08:00.634,80,after lunch
2018-05-03 15:08:00.933,79,after lunch
2018-05-03 15:08:01.535,79,after lunch
2018-05-03 15:08:01.834,79,after lunch
2018-05-03 15:08:02.138,73,after lunch
2018-05-03 15:08:02.437,73,after lunch
2018-05-03 15:08:02.740,73,after lunch
2018-05-03 15:08:03.039,73,after lunch
2018-05-03 15:08:03.641,74,after lunch
2018-05-03 15:08:03.940,73,after lunch
2018-05-03 15:08:04.243,73,after lunch
2018-05-03 15:08:04.542,87,after lunch
2018-05-03 15:08:05.144,108,after lunch
2018-05-03 15:08:57.122,10,after lunch
2018-05-03 15:08:57.425,104,after lunch
2018-05-03 15:08:57.724,101,after lunch
2018-05-03 15:08:58.027,103,after lunch
2018-05-03 15:08:58.326,103,after lunch
2018-05-03 15:08:58.928,106,after lunch
2018-05-03 15:08:59.227,106,after lunch
2018-05-03 15:08:59.530,105,after lunch
2018-05-03 15:08:59.829,105,after lunch
2018-05-03 15:09:00.132,105,after lunch
2018-05-03 15:09:00.431,105,after lunch
2018-05-03 15:09:01.033,105,after lunch
2018-05-03 15:09:01.332,105,after lunch
2018-05-03 15:09:01.635,105,after lunch
2018-05-03 15:09:01.934,80,after lunch
2018-05-03 15:09:02.237,80,after lunch
2018-05-03 15:09:02.536,80,after lunch
2018-05-03 15:09:03.139,71,after lunch
2018-05-03 15:09:03.438,71,after lunch
2018-05-03 15:09:03.741,71,after lunch
2018-05-03 15:09:04.040,71,after lunch
2018-05-03 15:09:04.343,71,after lunch
2018-05-03 15:09:04.642,71,after lunch
2018-05-03 15:09:05.244,63,after lunch
2018-05-03 15:09:05.543,63,after lunch
2018-05-03 15:09:06.747,62,after lunch
2018-05-03 15:09:07.046,62,after lunch
2018-05-03 15:09:07.349,62,after lunch
2018-05-03 15:09:07.648,62,after lunch
2018-05-03 15:09:08.250,62,after lunch
2018-05-03 15:09:08.549,62,after lunch
2018-05-03 15:09:28.984,102,after lunch
2018-05-03 15:09:29.586,102,after lunch
2018-05-03 15:09:29.885,102,after lunch
2018-05-03 15:09:30.188,102,after lunch
2018-05-03 15:09:30.487,102,after lunch
2018-05-03 15:09:30.790,102,after lunch
2018-05-03 15:09:31.089,102,after lunch
2018-05-03 15:09:31.691,102,after lunch
2018-05-03 15:09:31.990,102,after lunch
2018-05-03 15:09:32.294,102,after lunch
2018-05-03 15:09:32.593,102,after lunch
2018-05-03 15:09:32.896,104,after lunch
2018-05-03 15:09:33.195,104,after lunch
2018-05-03 15:09:33.498,104,after lunch
2018-05-03 15:09:33.797,104,after lunch
2018-05-03 15:09:34.399,104,after lunch
2018-05-03 15:09:34.698,104,after lunch
2018-05-03 15:09:35.001,104,after lunch
2018-05-03 15:09:35.300,104,after lunch
2018-05-03 15:09:35.603,81,after lunch
2018-05-03 15:09:35.902,81,after lunch
2018-05-03 15:09:36.504,81,after lunch
